run_id,started_utc,wall_clock_min,n_tasks,n_trials,pass3_base,pass3_hallucination,pass3_disambiguation,pass3_overall,pass_at_1,pass_at_3,pass_rate,trials_with_tokens,tokens_mean_k,tokens_median_k,tokens_max_k,llm_s_per_trial_mean,llm_s_per_trial_median,llm_s_per_a2a_turn_mean,steps,max_seq_calls_per_step,steps_over_5_calls,call_histogram,gate_skips,verifier_runs,verifier_revisions,verifier_failures,completeness_revisions,phase_sep_rejects,budget_limited_skips,user_simulator_model,progress_log,report_role
20260708-205040,2026-07-08T17:31:30,79.2,125,375,60.0,42.0,28.0,43.3,57.3,71.3,59.7,369,84.8,69.3,585.1,5.21,4.2,1.05,1844,2,0,1:1831;2:13,0,0,0,0,0,0,0,openrouter/google/gemini-2.5-flash,20260708-193128__local_test_set.log,Table 3 row 1: prompt-only baseline
20260709-141014,2026-07-09T09:44:27,145.8,125,375,16.0,24.0,16.0,18.7,40.0,67.3,42.9,270,74.9,66.4,337.6,4.22,3.62,0.97,1725,3,0,1:1711;2:13;3:1,0,0,0,0,0,0,0,openrouter/google/gemini-2.5-flash,20260709-114424__local_test_set.log,Sec 5: evaluator-truncation run (18.7%)
20260709-205632,2026-07-09T16:11:45,164.8,125,375,30.0,40.0,28.0,32.7,52.7,71.3,53.6,330,82.9,67.2,716.9,5.61,4.51,1.19,1895,2,0,1:1882;2:13,0,0,0,0,0,0,0,openrouter/google/gemini-2.5-flash,20260709-181143__local_test_set.log,
20260710-085429,2026-07-09T19:37:29,677.0,125,375,50.0,36.0,44.0,43.3,56.7,76.7,60.5,360,85.8,69.5,390.5,11.15,7.06,2.14,1849,3,0,1:1820;2:24;3:5,0,0,0,0,0,0,0,openrouter/google/gemini-2.5-flash,20260709-213727__local_test_set.log,
20260710-182040,2026-07-10T12:45:50,214.8,125,375,28.0,34.0,28.0,30.0,54.0,69.3,50.1,313,92.8,84.6,338.4,5.92,5.1,1.24,1936,5,0,1:1722;2:147;3:61;4:5;5:1,254,85,0,1,0,131,0,openrouter/google/gemini-2.5-flash,20260710-144547__local_test_set.log,
20260710-201138,2026-07-10T16:52:46,78.9,125,375,64.0,42.0,48.0,51.3,64.0,76.7,64.3,375,104.2,83.6,1419.0,5.81,4.43,1.08,1985,5,0,1:1742;2:164;3:73;4:4;5:2,235,100,0,1,0,170,0,openrouter/google/gemini-2.5-flash,20260710-185243__local_test_set.log,"Table 3 row 2: + guards, gated verifier"
20260710-220633,2026-07-10T18:55:27,71.1,125,375,64.0,44.0,36.0,48.0,65.3,75.3,63.5,375,98.5,84.9,775.9,5.48,4.33,1.08,1894,5,0,1:1688;2:147;3:55;4:3;5:1,236,96,0,0,0,101,0,openrouter/google/gemini-2.5-flash,20260710-205525__local_test_set.log,Sec 5 (i): workflow memory (negative)
20260711-104145,2026-07-11T07:34:36,67.2,125,375,62.0,40.0,44.0,48.7,60.0,76.0,62.1,375,97.5,82.6,977.8,4.98,3.99,0.97,1901,5,0,1:1693;2:146;3:61;5:1,240,86,18,2,0,138,0,openrouter/google/gemini-2.5-flash,20260711-093433__local_test_set.log,
20260712-103726,2026-07-12T07:34:39,62.8,125,375,60.0,52.0,40.0,50.7,64.0,74.7,66.4,375,94.0,74.1,1363.7,4.44,3.7,0.9,1843,5,0,1:1649;2:136;3:54;4:2;5:2,225,86,19,0,0,122,0,openrouter/google/gemini-2.5-flash,20260712-093436__local_test_set.log,
20260712-141211,2026-07-12T11:10:25,61.8,125,375,62.0,54.0,40.0,52.0,66.0,77.3,66.1,375,89.2,71.3,606.9,4.23,3.52,0.88,1783,5,0,1:1615;2:128;3:33;4:6;5:1,237,88,19,2,0,74,0,openrouter/google/gemini-2.5-flash,20260712-131022__local_test_set.log,Table 3 row 3: + catalog notice
20260712-163201,2026-07-12T13:28:36,63.4,125,375,66.0,58.0,52.0,58.7,66.0,74.0,68.5,373,92.2,81.6,584.3,4.28,3.47,0.87,1953,6,1,1:1761;2:132;3:49;4:7;5:3;6:1,238,99,30,1,0,96,0,openrouter/google/gemini-2.5-flash,20260712-152833__local_test_set.log,"Table 3 row 4: + placeholder, toll (best run)"
20260712-175232,2026-07-12T14:33:48,78.7,125,375,52.0,46.0,36.0,44.7,62.7,80.0,65.1,375,105.1,90.0,1341.1,6.67,5.41,1.3,1849,7,3,1:1229;2:444;3:150;4:19;5:4;6:2;7:1,233,85,21,0,109,133,0,openrouter/google/gemini-2.5-flash,20260712-163345__local_test_set.log,Sec 5 (iii): completeness verifier (negative)
20260712-200002,2026-07-12T16:59:28,60.6,125,375,72.0,58.0,40.0,56.7,66.7,75.3,68.5,375,89.0,72.6,482.4,4.28,3.56,0.91,1757,5,0,1:1579;2:115;3:59;4:3;5:1,223,87,25,0,0,99,0,openrouter/google/gemini-2.5-flash,20260712-185925__local_test_set.log,Table 3 row 5: confirmation run
20260713-093042,2026-07-13T06:23:42,67.0,125,375,62.0,58.0,40.0,53.3,61.3,76.7,66.4,375,93.4,82.6,429.6,4.67,3.91,0.96,1818,5,0,1:1610;2:153;3:51;4:2;5:2,217,81,18,1,0,100,0,openrouter/google/gemini-2.5-flash,20260713-082340__local_test_set.log,
20260713-125538,2026-07-13T09:42:44,72.9,125,375,68.0,52.0,44.0,54.7,69.3,79.3,69.6,375,95.8,82.5,1211.0,4.86,3.9,0.97,1824,5,0,1:1591;2:152;3:76;4:4;5:1,200,90,19,2,0,147,0,openrouter/google/gemini-2.5-flash,20260713-114241__local_test_set.log,
20260715-143929,2026-07-15T11:22:55,76.6,125,375,60.0,42.0,40.0,47.3,61.3,74.0,64.0,374,96.7,86.1,555.7,5.41,4.54,1.11,1787,5,0,1:1554;2:157;3:68;4:2;5:6,225,99,36,2,0,111,0,openrouter/google/gemini-2.5-flash,20260715-132253__local_test_set.log,"Sec 6: post-guard run, sources == submitted image"
